date,indexation,maturity,value
Jan 1992,nominal,1,NA
Jan 1992,real,10,3.2895238095
Jan 1992,nominal,10,NA
Jan 1992,real,1,3.9133333333
Feb 1992,nominal,1,NA
Feb 1992,real,10,3.328
Feb 1992,nominal,10,NA
Feb 1992,real,1,3.651
Mar 1992,nominal,1,NA
Mar 1992,real,10,3.145
Mar 1992,nominal,10,NA
Mar 1992,real,1,2.2863636364
Apr 1992,nominal,1,NA
Apr 1992,real,10,3.1827272727
Apr 1992,nominal,10,NA
Apr 1992,real,1,2.7627272727
May 1992,nominal,1,NA
May 1992,real,10,2.9335
May 1992,nominal,10,NA
May 1992,real,1,2.4045
Jun 1992,nominal,1,NA
Jun 1992,real,10,2.525
Jun 1992,nominal,10,NA
Jun 1992,real,1,1.38
Jul 1992,nominal,1,NA
Jul 1992,real,10,2.3631818182
Jul 1992,nominal,10,NA
Jul 1992,real,1,1.2868181818
Aug 1992,nominal,1,NA
Aug 1992,real,10,2.6395238095
Aug 1992,nominal,10,NA
Aug 1992,real,1,1.5304761905
Sep 1992,nominal,1,NA
Sep 1992,real,10,2.2255
Sep 1992,nominal,10,NA
Sep 1992,real,1,1.186
Oct 1992,nominal,1,NA
Oct 1992,real,10,2.3976470588
Oct 1992,nominal,10,NA
Oct 1992,real,1,1.7970588235
Nov 1992,nominal,1,NA
Nov 1992,real,10,2.21
Nov 1992,nominal,10,NA
Nov 1992,real,1,1.2577272727
Dec 1992,nominal,1,NA
Dec 1992,real,10,2.0986956522
Dec 1992,nominal,10,NA
Dec 1992,real,1,0.5017391304
Jan 1993,nominal,1,NA
Jan 1993,real,10,2.000952381
Jan 1993,nominal,10,NA
Jan 1993,real,1,0.3161904762
Feb 1993,nominal,1,NA
Feb 1993,real,10,2.3235
Feb 1993,nominal,10,NA
Feb 1993,real,1,1.882
Mar 1993,nominal,1,NA
Mar 1993,real,10,2.7140909091
Mar 1993,nominal,10,NA
Mar 1993,real,1,2.8813636364
Apr 1993,nominal,1,NA
Apr 1993,real,10,3.1755555556
Apr 1993,nominal,10,NA
Apr 1993,real,1,4.2005555556
May 1993,nominal,1,NA
May 1993,real,10,3.4042857143
May 1993,nominal,10,NA
May 1993,real,1,4.4495238095
Jun 1993,nominal,1,NA
Jun 1993,real,10,3.4022727273
Jun 1993,nominal,10,NA
Jun 1993,real,1,4.2709090909
Jul 1993,nominal,1,NA
Jul 1993,real,10,3.567
Jul 1993,nominal,10,NA
Jul 1993,real,1,4.6595
Aug 1993,nominal,1,NA
Aug 1993,real,10,3.4882608696
Aug 1993,nominal,10,NA
Aug 1993,real,1,4.0882608696
Sep 1993,nominal,1,NA
Sep 1993,real,10,3.2485
Sep 1993,nominal,10,NA
Sep 1993,real,1,3.225
Oct 1993,nominal,1,NA
Oct 1993,real,10,3.2205
Oct 1993,nominal,10,NA
Oct 1993,real,1,2.7885
Nov 1993,nominal,1,NA
Nov 1993,real,10,2.92
Nov 1993,nominal,10,NA
Nov 1993,real,1,2.1222727273
Dec 1993,nominal,1,NA
Dec 1993,real,10,2.7159090909
Dec 1993,nominal,10,NA
Dec 1993,real,1,1.66
Jan 1994,nominal,1,NA
Jan 1994,real,10,2.7786363636
Jan 1994,nominal,10,NA
Jan 1994,real,1,2.3045454545
Feb 1994,nominal,1,NA
Feb 1994,real,10,2.954
Feb 1994,nominal,10,NA
Feb 1994,real,1,3.4255
Mar 1994,nominal,1,NA
Mar 1994,real,10,3.1995454545
Mar 1994,nominal,10,NA
Mar 1994,real,1,3.85
Apr 1994,nominal,1,NA
Apr 1994,real,10,3.2227777778
Apr 1994,nominal,10,NA
Apr 1994,real,1,4.1294444444
May 1994,nominal,1,NA
May 1994,real,10,3.2252380952
May 1994,nominal,10,NA
May 1994,real,1,2.959047619
Jun 1994,nominal,1,NA
Jun 1994,real,10,3.4886363636
Jun 1994,nominal,10,NA
Jun 1994,real,1,2.6990909091
Jul 1994,nominal,1,NA
Jul 1994,real,10,3.515
Jul 1994,nominal,10,NA
Jul 1994,real,1,2.3
Aug 1994,nominal,1,NA
Aug 1994,real,10,3.22
Aug 1994,nominal,10,NA
Aug 1994,real,1,2.1761904762
Sep 1994,nominal,1,NA
Sep 1994,real,10,3.1058333333
Sep 1994,nominal,10,NA
Sep 1994,real,1,2.4575
Oct 1994,nominal,1,NA
Oct 1994,real,10,3.3559090909
Oct 1994,nominal,10,NA
Oct 1994,real,1,3.0727272727
Nov 1994,nominal,1,NA
Nov 1994,real,10,3.4913636364
Nov 1994,nominal,10,NA
Nov 1994,real,1,3.1354545455
Dec 1994,nominal,1,NA
Dec 1994,real,10,3.7428571429
Dec 1994,nominal,10,NA
Dec 1994,real,1,3.6033333333
Jan 1995,nominal,1,NA
Jan 1995,real,10,3.9113043478
Jan 1995,nominal,10,NA
Jan 1995,real,1,4.677826087
Feb 1995,nominal,1,NA
Feb 1995,real,10,4.228
Feb 1995,nominal,10,NA
Feb 1995,real,1,5.0665
Mar 1995,nominal,1,NA
Mar 1995,real,10,4.2671428571
Mar 1995,nominal,10,NA
Mar 1995,real,1,4.6704761905
Apr 1995,nominal,1,NA
Apr 1995,real,10,4.5075
Apr 1995,nominal,10,NA
Apr 1995,real,1,5.2985
May 1995,nominal,1,NA
May 1995,real,10,4.4785714286
May 1995,nominal,10,NA
May 1995,real,1,4.989047619
Jun 1995,nominal,1,NA
Jun 1995,real,10,4.3655
Jun 1995,nominal,10,NA
Jun 1995,real,1,4.603
Jul 1995,nominal,1,NA
Jul 1995,real,10,4.4859090909
Jul 1995,nominal,10,NA
Jul 1995,real,1,5.0031818182
Aug 1995,nominal,1,NA
Aug 1995,real,10,4.4395454545
Aug 1995,nominal,10,NA
Aug 1995,real,1,4.6431818182
Sep 1995,nominal,1,NA
Sep 1995,real,10,4.3152941176
Sep 1995,nominal,10,NA
Sep 1995,real,1,4.4629411765
Oct 1995,nominal,1,NA
Oct 1995,real,10,4.5523529412
Oct 1995,nominal,10,NA
Oct 1995,real,1,5.1276470588
Nov 1995,nominal,1,NA
Nov 1995,real,10,4.5286363636
Nov 1995,nominal,10,NA
Nov 1995,real,1,5.0413636364
Dec 1995,nominal,1,NA
Dec 1995,real,10,4.3
Dec 1995,nominal,10,NA
Dec 1995,real,1,4.5561904762
Jan 1996,nominal,1,NA
Jan 1996,real,10,4.2591304348
Jan 1996,nominal,10,NA
Jan 1996,real,1,4.3713043478
Feb 1996,nominal,1,15.308
Feb 1996,real,10,4.3776190476
Feb 1996,nominal,10,NA
Feb 1996,real,1,4.4942857143
Mar 1996,nominal,1,15.983
Mar 1996,real,10,4.5195
Mar 1996,nominal,10,NA
Mar 1996,real,1,4.576
Apr 1996,nominal,1,16.635625
Apr 1996,real,10,4.443125
Apr 1996,nominal,10,NA
Apr 1996,real,1,4.504375
May 1996,nominal,1,16.664
May 1996,real,10,4.319
May 1996,nominal,10,NA
May 1996,real,1,3.709
Jun 1996,nominal,1,17.2466666667
Jun 1996,real,10,4.499047619
Jun 1996,nominal,10,NA
Jun 1996,real,1,4.0704761905
Jul 1996,nominal,1,16.9804761905
Jul 1996,real,10,4.8557142857
Jul 1996,nominal,10,NA
Jul 1996,real,1,5.380952381
Aug 1996,nominal,1,16.6185714286
Aug 1996,real,10,5.2019047619
Aug 1996,nominal,10,NA
Aug 1996,real,1,6.0633333333
Sep 1996,nominal,1,16.72
Sep 1996,real,10,4.9478947368
Sep 1996,nominal,10,NA
Sep 1996,real,1,5.4247368421
Oct 1996,nominal,1,16.4273913043
Oct 1996,real,10,4.647826087
Oct 1996,nominal,10,NA
Oct 1996,real,1,4.7508695652
Nov 1996,nominal,1,15.7955
Nov 1996,real,10,4.5565
Nov 1996,nominal,10,NA
Nov 1996,real,1,4.742
Dec 1996,nominal,1,15.1386363636
Dec 1996,real,10,4.49
Dec 1996,nominal,10,NA
Dec 1996,real,1,4.8254545455
Jan 1997,nominal,1,14.63
Jan 1997,real,10,4.3647619048
Jan 1997,nominal,10,NA
Jan 1997,real,1,4.5023809524
Feb 1997,nominal,1,14.267
Feb 1997,real,10,4.1925
Feb 1997,nominal,10,NA
Feb 1997,real,1,4.13
Mar 1997,nominal,1,14.4452380952
Mar 1997,real,10,4.2
Mar 1997,nominal,10,NA
Mar 1997,real,1,4.0114285714
Apr 1997,nominal,1,14.3177777778
Apr 1997,real,10,4.2577777778
Apr 1997,nominal,10,NA
Apr 1997,real,1,4.8027777778
May 1997,nominal,1,14.1442105263
May 1997,real,10,4.1826315789
May 1997,nominal,10,NA
May 1997,real,1,4.5915789474
Jun 1997,nominal,1,13.4355
Jun 1997,real,10,4.029
Jun 1997,nominal,10,NA
Jun 1997,real,1,4.685
Jul 1997,nominal,1,13.1430434783
Jul 1997,real,10,3.8852173913
Jul 1997,nominal,10,NA
Jul 1997,real,1,3.5047826087
Aug 1997,nominal,1,13.4955
Aug 1997,real,10,3.782
Aug 1997,nominal,10,NA
Aug 1997,real,1,3.915
Sep 1997,nominal,1,13.51
Sep 1997,real,10,3.8452380952
Sep 1997,nominal,10,NA
Sep 1997,real,1,4.9447619048
Oct 1997,nominal,1,13.358125
Oct 1997,real,10,3.865625
Oct 1997,nominal,10,NA
